Year,State,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of Labor Force Unemployed in State/Area,total_import,GDP,Real GDP*,Effective Federal Funds Rate,Inflation Rate,Population,violent total,Murder,rape,Robbery,Aggravated assault,property total,Burglary,Larceny theft,vehicle theft
1993,Oklahoma,7.61,7.61,7.61,144.5,2413356.9166666665,1535023.5833333333,5.6499999999999995,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,3231000,634.8,8.4,49.3,121.8,455.3,4659.4,1235.0,2943.7,480.7
1993,Oregon,8.5,7.61,8.5,144.5,2349662.6666666665,1602024.0,6.983333333333333,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,3032000,503.1,4.6,51.3,129.6,317.6,5262.5,1024.8,3656.9,580.7
1993,Pennsylvania,7.61,7.61,7.61,144.5,9322176.0,5897936.833333333,6.933333333333334,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,12048000,417.5,6.8,26.5,179.0,205.1,2853.9,582.0,1831.7,440.2
1993,Rhode Island,7.97,7.61,7.97,144.5,780167.75,523421.8333333333,7.541666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1000000,401.7,3.9,28.6,101.1,268.1,4097.3,1040.9,2410.1,646.3
1993,South Carolina,0.0,7.61,7.61,144.5,2739480.3333333335,1826919.5,7.291666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,3643000,1023.4,10.3,52.3,187.3,773.4,4880.0,1309.2,3226.8,344.0
1993,South Dakota,7.61,7.61,7.61,144.5,519692.0,367201.5833333333,3.4583333333333335,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,715000,208.4,3.4,44.5,15.0,145.6,2749.8,549.2,2086.0,114.5
1993,Tennessee,0.0,7.61,7.61,144.5,3936540.6666666665,2535429.0833333335,5.8500000000000005,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,5099000,765.8,10.2,49.9,220.1,485.5,4473.8,1182.6,2700.2,591.0
1993,Texas,6.0,7.61,7.61,144.5,13293974.166666666,9167770.583333334,7.216666666666666,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,18031000,762.1,11.9,55.0,224.4,470.8,5677.0,1297.3,3687.3,692.3
1993,Utah,7.61,7.61,7.61,144.5,1303474.5,937150.3333333334,4.05,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1860000,301.0,3.1,44.6,58.6,194.7,4936.3,790.8,3903.4,242.2
1993,Vermont,7.61,7.61,7.61,144.5,438619.0833333333,314421.3333333333,5.208333333333333,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,576000,114.2,3.6,39.8,9.0,61.8,3858.2,874.3,2851.2,132.6
1993,Virginia,6.53,7.61,7.61,144.5,4853591.666666667,3370560.5,5.2,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,6491000,372.2,8.3,32.1,142.0,189.8,3743.3,667.7,2790.1,285.5
1993,Washington,7.61,7.61,7.61,144.5,3954336.0,2700587.5,7.275,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,5255000,514.6,5.2,64.4,137.1,307.9,5437.7,1067.2,3914.4,456.1
1993,West Virginia,6.8,7.61,7.61,144.5,1426083.9166666667,784404.75,10.308333333333334,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1820000,208.4,6.9,20.1,43.0,138.5,2324.2,599.1,1563.5,161.5
1993,Wisconsin,6.8,7.61,7.61,144.5,3817858.0833333335,2748929.8333333335,4.375,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,5038000,264.4,4.4,25.2,113.4,121.4,3789.7,663.0,2762.0,364.7
1993,Wyoming,2.86,7.61,7.61,144.5,346079.6666666667,243419.58333333337,5.325,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,470000,286.2,3.4,34.3,17.2,231.3,3876.8,643.2,3078.7,154.9
1994,Alabama,0.0,7.42,7.42,148.2,3228880.25,2032946.1666666667,6.175,663255.0,7287.2,11114.6,4.201666666666667,2.8499999999999996,4219000,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8
1994,Alaska,8.29,7.42,8.29,148.2,409113.5,300745.25,7.616666666666667,663255.0,7287.2,11114.6,4.201666666666667,2.8499999999999996,606000,766.3,6.3,69.0,146.2,544.9,4941.7,800.0,3601.3,540.4
1994,Arizona,0.0,7.42,7.42,148.2,3214383.1666666665,2104551.6666666665,6.191666666666666,663255.0,7287.2,11114.6,4.201666666666667,2.8499999999999996,4075000,703.1,10.5,36.0,162.0,494.7,7221.4,1476.2,4678.5,1066.7
1994,Arkansas,7.42,7.42,7.42,148.2,1885858.3333333333,1206581.4166666667,5.441666666666666,663255.0,7287.2,11114.6,4.201666666666667,2.8499999999999996,2453000,595.1,12.0,41.9,128.7,412.5,4203.6,1097.1,2791.6,315.0
